Countries,Inhabitants
Albania,2876591
Andorra,73105
Armenia,2986100
Austria,8739806
Azerbaijan,9705600
Belgium,11322088
Bosnia and Herzegovina,3509728
Bulgaria,7101859
Croatia,4154213
Cyprus,848300
Czech Republic,10578820
Denmark,5748769
Estonia,1315635
Finland,5503297
France,66991000
Georgia,3718200
Germany,82175684
Greece,10783748
Hungary,9797561
Iceland,338349
Ireland,4673700
Italy,60589445
Latvia,1968957
Lithuania,2847904
Luxembourg,590700
Malta,440433
Monaco,37550
Montenegro,620029
Netherlands,17081507
Norway,5258317
Poland,38433000
Portugal,10309573
Republic of Moldova,3550852
Romania,19638309
Serbia,7040272
Slovakia,5435343
Slovenia,2065895
Spain,46528966
Sweden,9995153
Switzerland,8419550
Macedonia,2073702
Ukraine,42584542
UK-England and Wales,58381300
UK-Northern Ireland,
UK-Scotland,5404700
