Countries,Lawyers
Albania,2285
Andorra,200
Armenia,1848
Austria,6132
Azerbaijan,920
Belgium,18532
Bosnia and Herzegovina,1600
Bulgaria,13500
Croatia,4690
Cyprus,3605
Czech Republic,11310
Denmark,6236
Estonia,993
Finland,3791
France,65480
Georgia,4471
Germany,164393
Greece,42091
Hungary,11191
Iceland,1087
Ireland,12237
Italy,229292
Latvia,1231
Lithuania,2213
Luxembourg,2381
Malta,1327
Monaco,35
Montenegro,831
Netherlands,17498
Norway,7738
Poland,48315
Portugal,30475
Republic of Moldova,2014
Romania,23205
Serbia,9053
Slovakia,6142
Slovenia,1711
Spain,142061
Sweden,5767
Switzerland,11924
Macedonia,2503
Ukraine,35142
UK-England and Wales,151354
UK-Northern Ireland,
UK-Scotland,11321
